set,average_width,average_height
dfdc_train_part_0,1392,1607
dfdc_train_part_1,1920,1080
dfdc_train_part_2,1920,1080
dfdc_train_part_3,1487,1334
dfdc_train_part_4,1731,1268
dfdc_train_part_5,1892,1108
dfdc_train_part_6,1432,1161
dfdc_train_part_7,1920,1080
dfdc_train_part_8,1746,1159
dfdc_train_part_9,1807,1244
dfdc_train_part_10,1604,1124
dfdc_train_part_11,1462,1403
dfdc_train_part_12,1665,1334
dfdc_train_part_13,1623,1006
dfdc_train_part_14,1846,1153
dfdc_train_part_15,1920,1080
dfdc_train_part_16,1834,1165
dfdc_train_part_17,1772,1227
dfdc_train_part_18,1729,1244
dfdc_train_part_19,1777,1015
dfdc_train_part_20,1638,1361
dfdc_train_part_21,1818,1181
dfdc_train_part_22,1894,1105
dfdc_train_part_23,1740,1259
dfdc_train_part_24,1766,1233
dfdc_train_part_25,1865,1134
dfdc_train_part_26,1920,1080
dfdc_train_part_27,1804,1195
dfdc_train_part_28,1872,1127
dfdc_train_part_29,1910,1089
dfdc_train_part_30,1896,1103
dfdc_train_part_31,1795,1204
dfdc_train_part_32,1723,1022
dfdc_train_part_33,1826,1139
dfdc_train_part_34,1907,1092
dfdc_train_part_35,1879,1120
dfdc_train_part_36,1853,1269
dfdc_train_part_37,1884,1076
dfdc_train_part_38,1901,1105
dfdc_train_part_39,1899,1100
dfdc_train_part_40,1886,1080
dfdc_train_part_41,1768,1096
dfdc_train_part_42,1920,1080
dfdc_train_part_43,1803,1167
dfdc_train_part_44,1856,1143
dfdc_train_part_45,1855,1144
dfdc_train_part_46,1719,1280
dfdc_train_part_47,1877,1087
dfdc_train_part_48,1768,1158
dfdc_train_part_49,1636,1146
total average,1787,1164
